Averaged Steps Training	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
50.0	-50.0	100.0	-100.0	46	360	0.0023187087641821967	0.7400222541650769	10063	6260	-5.840338706970215
50.0	-50.0	100.0	-100.0	48	380	0.0020731097773501747	0.7322518351839558	10949	6260	-5.168827533721924
50.0	-50.0	83.0	-82.2	50	400	0.0020452135801315306	0.7243581499206685	11860	6260	-5.2702317237854
43.0	-0.95	100.0	-100.0	53	420	0.0015891625767662412	0.7163558582142067	12795	6260	-4.572009563446045
50.0	-50.0	100.0	-100.0	54	440	0.0017627851529554888	0.7082757058937222	13751	6260	-5.603077411651611
50.0	-50.0	45.0	-44.2	56	460	0.0017397419266078783	0.7006838257403366	14659	6260	-4.649669647216797
50.0	-50.0	100.0	-100.0	60	480	0.0017082115014394124	0.6932357832530612	15560	6261	-9.42695140838623
7.0	-0.71	81.0	-80.2	64	500	0.00021779918670654296	0.6863898514233127	16396	6261	-7.2445197105407715
50.0	-50.0	68.0	-67.2	67	520	0.001548611200772799	0.6794515278482738	17253	6261	-8.327166557312012
50.0	-50.0	100.0	-100.0	69	540	0.0015418887138366698	0.671849964793722	18205	6261	-6.532754421234131
50.0	-50.0	80.0	-79.8	75	560	0.0013991530452455794	0.6658625770767814	18959	6261	-7.7900261878967285
50.0	-50.0	100.0	-100.0	77	580	0.0013679899018386316	0.6586076757246828	19887	6261	-6.563882350921631
50.0	-50.0	100.0	-100.0	77	600	0.0013283125559488932	0.6510474297558757	20867	6261	-6.357512950897217
50.0	-50.0	100.0	-100.0	79	620	0.0013233988515792354	0.6438631166666485	21809	6261	-6.576125621795654
50.0	-50.0	83.0	-82.6	81	640	0.0012966293841600418	0.6369333966870498	22728	6262	-13.537431716918945
50.0	-50.0	89.0	-89.0	85	660	0.001273352810830781	0.6302948575711955	23618	6262	-10.835076332092285
